"Plexus_Customer_No","Customer_No","Customer_Code","Customer_Name",
"172064","305905","Hella","Hella Electronics Corporation",
"172064","267255","Hollingsworth","Hollingsworth Distribution Systems",
"172064","333567","Infinisource","Infinisource",
"172064","342688","JNM Kentucky","JNM Kentucky, LLC",
"172064","342906","Kellogg Crankshaft","Kellogg Crankshaft",
"172064","267256","Macimex","Macimex",
"172064","342094","Magna","Magna Seating Systems",
"172064","295724","Major Metals","Major Metals Corporation",
"172064","333689","Misc","Miscellaneous",
"172064","343964","MPI Engineered","MPI Engineered Technologies WIN, LLC.",
"172064","340786","NHK","NHK Seating of America",
"172064","267260","NSI - SMI","Nippon Steel & Sumikin Crankshaft LLC./SMI Crankshaft LLC. /",
"172064","273731","Omnisource","Omnisource Corporation",
"172064","341903","Orion Metals","Orion Metals Co.",
"172064","342310","Palmer","Palmer Engineering Inc.",
"172064","275767","Precision Boring","Precision Boring Company",
"172064","307281","Precision Resource","Precision Resource",
"172064","267257","Radar","Radar Industries",
"172064","322134","Redall Ind","Redall Industries, Inc.",
"172064","341322","Rivore","Rivore",
"172064","315122","SAIC","SAIC USA, Inc.",
"172064","336043","SAIC GM","SAIC General Motors Corporation Limited",
"172064","267258","SCAT","SCAT Enterprises, Inc.",
"172064","341275","Sitech","Sitech SP z.o.o.",
"172064","770063","Surplus Metals","Surplus Metals Corp",
"172064","768937","Windy City","Windy City Metals",
"282515","323811","Adient Bridgewater","Bridgewater Interiors",
"282515","320365","Adient NA","Adient US LLC",
"282515","340614","Amvian","Amvian",
"282515","338435","Camaco","Camaco Lorain Manufacturing",
"282515","341543","FCA - Fiat Chrysler","Fiat Chrysler Automobiles US LLC",
"282515","321924","FD Corporate","Fisher & Company",
"282515","326952","FD Mexico","Fisher Dynamics Mexico",
"282515","332426","FD SCS","Fisher Dynamics St Clair Shores",
"282515","341542","Ford","Ford Motor Company",
"282515","334081","GM - General Motors","General Motors LLC",
"282515","340723","GM de Mexico","General Motors Corporation",
"282515","321549","GM MGO","General Motors Corporation",
"282515","340359","GM Powertrain","GM Powertrain",
"282515","326661","GM Service","General Motors Corporation",
"282515","768733","GraMag","GraMag Truck Interior Systems",
"282515","344079","Henry Fligeltaub","Henry Fligeltaub Company",
"282515","333569","Infinisource","Infinisource",
"282515","767709","Lear Adv. Assy","Advanced Assembly, LLC.",
"282515","338633","Lear MX","Lear Mexican Seating Corporation",
"282515","335678","Lear NA","Lear Corporation North America",
"282515","320371","Magna","Magna Seating Systems",
"282515","335657","Misc","Miscellaneous",
"282515","767782","Mississauga","Mississauga Seating Systems",
"282515","325627","Omnisource","Omnisource Corporation",
"282515","339731","Qualtech","Qualtech Seating Systems",
"282515","341325","Rivore","Rivore",
"282515","769877","Sears","Sears Manufacturing Co.",
"282515","769295","Ternes","Ternes Procurement Services",
"282515","344087","US Treasury - CBP","United States Treasury - Customs Border Protection",
"282515","768699","Warehouse Services","Warehouse Services, Inc",
"322369","346664","Magna","Magna Seating Systems",
"322369","767682","Sikora","Sikora Metals, Inc.",
"328379","767537","景德镇泰源","景德镇泰源创业投资管理有限公司",
"328379","768080","汽配（上海）","汽配（上海）",
"328379","767583","浙江一路","浙江一路",
"328379","770274","浙江耀欧","浙江耀欧汽车零部件有限公司",
"328379","766951","顾家家居","顾家家居",
"328379","770000","Fisher Technology (Jiashan)","Fisher Technology (Jiashan)",
